CIK,Ticker,Name
1124941,BECN,Beacon Roofing Supply
729580,BELFB,Bel Fuse Inc
1378992,BERY,Berry Plastics Group Inc
1437578,BFAM,Bright Horizons Family Solutions Inc
1303942,BFIN,Bankfinancial Corp
907254,BFS,Saul Centers
886035,BGC,General Cable Corp
1382519,BGCP,Bgc Partners
1156388,BGFV,Big 5 Sporting Goods Corp
14195,BGG,Briggs & Stratton Corp
889608,BHB,Bar Harbor Bankshares
863436,BHE,Benchmark Electronics
1108134,BHLB,Berkshire Hills Bancorp
823094,BID,Sotheby's Holdings
768835,BIG,Big Lots
1014739,BIOS,Bioscrip Inc
1013488,BJRI,Bj's Restaurants
885245,BKE,Buckle Inc
1130464,BKH,Black Hills Corp
1123270,BKMU,Bank Mutual Corp
890491,BKS,Barnes & Noble
1316835,BLDR,Builders Firstsource
1280058,BLKB,Blackbaud Inc
1546417,BLMN,Bloomin' Brands Inc
1522420,BLMT,Bsb Bancorp Inc
1223862,BLOX,Infoblox Inc
1001606,BLT,Blount International
9092,BMI,Badger Meter
1403475,BMRC,Bank of Marin Bancorp
802681,BMTC,Bryn Mawr Bank Corp
1378020,BNCL,Beneficial Mutual Bancorp
1210227,BNCN,BNC Bancorp
1576169,BNFT,Benefitfocus Inc
1304994,BNK,C1 Financial Inc
33769,BOBE,Bob Evans Farms
1299709,BOFI,Bofi Holding
919443,BOOT,Boot Barn Holdings Inc
1487999,BOX,Box Inc
821127,BPFH,Boston Private Financial Holdings
1305323,BPI,Bridgepoint Education
746598,BRC,Brady Corp
892222,BREW,Craft Brewers Alliance Inc
1049782,BRKL,Brookline Bancorp
933974,BRKS,Brooks Automation
73887,BRS,Bristow Group Inc
1533526,BRSS,Global Brass and Copper Holdin
10329,BSET,Bassett Furniture Industries Inc
1086909,BSFT,Broadsoft Inc
1130144,BSRR,Sierra Bancorp
875622,BSTC,Biospecifics Technologies Corp
1064728,BTU,Peabody Energy Corp
876343,BTX,Biotime Inc
1579298,BURL,Burlington Stores Inc
314489,BUSE,First Busey Corp
1330421,BV,Bazaarvoice Inc
9346,BWINB,Baldwin & Lyons
1062449,BWLD,Buffalo Wild Wings
701853,BXS,Bancorpsouth Inc
906553,BYD,Boyd Gaming Corp
915840,BZH,Beazer Homes USA
750686,CAC,Camden National Corp
865911,CACB,Cascade Bancorp
16058,CACI,Caci International
1575879,CACQ,Caesars Acquisition Company
887596,CAKE,The Cheesecake Factory Inc
319687,CAL,Caleres Inc
822665,CALA,Calithera Biosciences Inc
1035748,CALD,Callidus Software
16160,CALM,Cal-Maine Foods
1406666,CALX,Calix Inc
730255,CAMP,Calamp Corp
1346830,CARA,Cara Therapeutics Inc
1340127,CARB,Carbonite Inc
907471,CASH,Meta Financial Group
708781,CASS,Cass Information Systems Inc
726958,CASY,Caseys General Stores
1277856,CATM,Cardtronics Inc
18255,CATO,Cato Corp
861842,CATY,Cathay General Bancorp
1175609,CAVM,Cavium Inc
716133,CBB,Cincinnati Bell Inc
1479750,CBF,Capital Bank Financial Corp
883943,CBK,Christopher & Banks Corp
840081,CBM,Cambrex Corp
1378624,CBMG,Cellular Biomedicine Group Inc
918581,CBR,Ciber Inc
1067294,CBRL,Cracker Barrel Old Country Store
723188,CBU,Community Bank System
1062780,CBZ,Cbiz Inc
726601,CCBG,Capital City Bank Group
812701,CCC,Calgon Carbon Corp
830524,CCF,Chase Corp
1490983,CCG,Campus Crest Communities
1102934,CCMP,Cabot Microelectronics Corp
736772,CCNE,Cnb Financial Corp
1158324,CCOI,Cogent Communications Group
1141103,CCRN,Cross Country Healthcare
1340652,CCXI,Chemocentryx Inc
215466,CDE,Coeur Mining Inc
18396,CDI,Cdi Corp
761648,CDR,Cedar Shopping Centers Inc
3197,CECE,Ceco Environmental
1046568,CECO,Career Education Corp
1461993,CEMP,Cempra Inc
949157,CENX,Century Aluminum Company
1020214,CERS,Cerus Corp
925645,CETV,Central European Media Enterprises
1173489,CEVA,Ceva Inc
1490906,CFFN,Capitol Federal Financial
723603,CFI,Culp Inc
1060523,CFNL,Cardinal Financial Corp
865941,CGI,Celadon Group
726854,CHCO,City Holding Company
20212,CHDN,Churchill Downs Inc
19584,CHE,Chemed Inc
1517175,CHEF,The Chefs' Warehouse Inc
19612,CHFC,Chemical Financial Corp
1478726,CHFN,Charter Financial
1364954,CHGG,Chegg Inc
844161,CHKE,Cherokee Inc
1091862,CHMT,Chemtura Corp
19353,CHRS,Coherus Biosciences Inc
897429,CHS,Chico's Fas
1473078,CHSP,Chesapeake Lodging Trust
1524931,CHUY,Chuy's Holding Inc
24090,CIA,Citizens Inc
936395,CIEN,Ciena Corp
1313918,CIFC,Cifc Corp
1091883,CIR,Circor International
1509273,CJES,C&J Energy Services Inc
799088,CKEC,Carmike Cinemas
859598,CKH,Seacor Smit Inc
215419,CKP,Checkpoint Systms
20740,CLC,Clarcor Inc
1089143,CLCT,Collectors Universe
1441849,CLD,Cloud Peak Energy Inc
1476045,CLDT,Chatham Lodging Trust [Reit]
764065,CLF,Cliffs Natural Resources Inc
796505,CLFD,Clearfield
924901,CLI,Mack-Cali Realty Corp
1299033,CLMS,Calamos Asset Management
1368265,CLNE,Clean Energy Fuels
1467076,CLNY,Colony Financial Inc
1466301,CLVS,Clovis Oncology Inc
1441236,CLW,Clearwater Paper Corp
22444,CMC,Commercial Metals Company
1005229,CMCO,Columbus Mckinnon Corp
1058623,CMLS,Cumulus Media Inc
19446,CMN,Cantel Medical
766701,CMO,Capstead Mortgage Corp
1117480,CMRX,Chimerix Inc
1026655,CMT,Core Molding Technologies Inc
23197,CMTL,Comtech Telecommunications
812348,CNBKA,Century Bancorp
1089819,CNL,Cleco Power Llc
816956,CNMD,Conmed Corp
1224608,CNO,Cno Financial Group
1462694,CNOB,Connectone Bancorp Inc
1284812,CNS,Cohn & Steers Inc
1304421,CNSL,Consolidated Communications Holdings
764811,COB,Community One Bancorp
1028734,COBZ,Cobiz Financial Inc
21510,COHR,Coherent Inc
21535,COHU,Cohu Inc
317540,COKE,Coca-Cola Bottling Co. Consolidated
887343,COLB,Columbia Banking System
21759,COLL,Collegium Pharmaceutical Inc
1050797,COLM,Columbia Sportswear Company
1553023,CONE,Cyrusone Inc
1223389,CONN,Conn's Inc
1490892,COR,Coresite Realty Corp
1318084,CORE,Core-Mark Holding Company
1041403,CORI,Corium International Inc
1347652,CORR,Corenergy Infrastructure Trust Inc
1088856,CORT,Corcept Therapeutics Inc
1466538,COWN,Cowen Group
928022,CPE,Callon Petroleum Company
701347,CPF,Central Pacific Financial Co
1037760,CPHD,Cepheid
19745,CPK,Chesapeake Utilities Corp
1104349,CPLA,Capella Education Company
1369568,CPRX,Catalyst Pharmaceutical Partners
1320461,CPS,Cooper Std Hldg Inc
1169445,CPSI,Computer Programs and Systems
1053706,CRAI,Cra Internationalinc
949158,CRAY,Cray Inc
1412270,CRCM,Care.Com Inc
1108205,CRIS,Curis Inc
1410098,CRMD,Cormedix Inc
799850,CRMT,America's Car-Mart
1334036,CROX,Crocs Inc
1009672,CRR,Carbo Ceramics
17843,CRS,Carpenter Technology Corp
772406,CRUS,Cirrus Logic
874866,CRVL,Corvel Corp
1103837,CRWN,Crown Media Holdings
784199,CRY,Cryolife
1040593,CRZO,Carrizo Oil & Gas
1240581,CSBK,Clifton Savings Bancorp
864559,CSCD,Cascade Microtech
1102266,CSFL,Centerstate Banks
1005757,CSGS,Csg Systems International
807884,CSH,Cash America International
1222929,CSII,Cardiovascular Systems
1401680,CSOD,Cornerstone Ondemand Inc
20629,CSS,Css Industries
1043000,CSU,Capital Senior Living Corp
1016281,CSV,Carriage Services
24491,CTB,Cooper Tire & Rubber Company
350852,CTBI,Community Trust Bancorp
1405277,CTCT,Constant Contact
891293,CTIC,Cell Therapeutics
23795,CTO,Consolidated-Tomoka Land Co
1259515,CTRL,Control4 Corp
1318484,CTRN,Citi Trends
26058,CTS,Cts Corp
1341141,CTT,Catchmark Timber Trust Inc
276209,CTWS,Connecticut Water Service
26076,CUB,Cubic Corp
1298675,CUBE,Cubesmart
1488813,CUBI,Customers Bancorp
1348334,CUDA,Barracuda Networks Inc
1543643,CUNB,California United Bk
1162461,CUTR,Cutera Inc
25232,CUZ,Cousins Properties Inc
354647,CVBF,Cvb Financial Corp
278166,CVCO,Cavco Industries
1062047,CVG,Convergys Corp
1290900,CVGI,Commercial Vehicle Group
1133470,CVGW,Calavo Growers
1169561,CVLT,Commvault Systems
1122897,CVT,Cvent Inc
928658,CVTI,Covenant Transportation Group
26324,CW,Curtiss-Wright Corp
928340,CWCO,Consolidated Water Co. Ltd
880115,CWEI,Clayton Williams Energy
911177,CWST,Casella Waste Systems
1035201,CWT,California Water Service Group Holding
885306,CYNO,Cynosure Inc
1396446,CYS,Cys Investments Inc
1061983,CYTK,Cytokinetics Inc
799698,CYTR,Cytrx Corp
810958,CZNC,Citizens & Northern Corp
1070794,CZR,Caesars Entertainment Corporati
915779,DAKT,Daktronics
26780,DAN,Dana Holding Corp
916540,DAR,Darling International Inc
28823,DBD,Diebold Inc
30305,DCO,Ducommun Inc
1005409,DCOM,Dime Community Bancshares
1170991,DCT,Dct Industrial Trust Inc
910521,DECK,Deckers Outdoor Corp
1022469,DEL,Deltic Timber Corp
852772,DENN,Denny's Corp
1005201,DEPO,Depomed Inc
931336,DF,Dean Foods Company
1415301,DFRG,Del Frisco's Restaurant Group Llc
1407739,DFT,Dupont Fabros Technology
1208208,DGI,Digitalglobe Inc
800457,DGICA,Donegal Group
854775,DGII,Digi International Inc
909108,DHIL,Diamond Hill Investment Group
1393883,DHX,Dice Holdings
49754,DIN,Dineequity Inc
29002,DIOD,Diodes Inc
783412,DJCO,Daily Journal Corp. [S.C.]
1351541,DK,Delek US Holdings
27996,DLX,Deluxe Corp
1320947,DMND,Diamond Foods
1438231,DMRC,Digimarc Corp
1574540,DOC,Physicians Realty Trust
893691,DOOR,Masonite Wrldwde Hld
868780,DORM,Dorman Products
1298946,DRH,Diamondrock Hospitality Company
1566897,DRII,Diamond Resorts International
1399529,DRNA,Dicerna Pharmaceuticals Inc
1082038,DRRX,Durect Corp
915778,DSPG,DSP Group
1056923,DTLK,Datalink Corp
1226308,DTSI,DTS Inc
730464,DV,Devry Inc
1029142,DVAX,Dynavax Technologies Corp
763744,DW,Drew Industries Inc
1297401,DWA,Dreamworks Animation Skg
1301031,DWRE,Demandware Inc
826675,DX,Dynex Capital
1020710,DXPE,Dxp Enterprises
67215,DY,Dycom Industries
907562,DYAX,Dyax Corp
1379895,DYN,Dynegy Inc
33002,EBF,Ennis Inc
814549,EBIX,Ebix Inc
1367644,EBS,Emergent Biosolutions
1411974,EBSB,Meridian Interstate Bancorp
1018399,EBTC,Enterprise Bancorp Inc
1426945,ECHO,Echo Global Logistics
742126,ECOL,US Ecology
1169652,ECOM,Channeladvisor Corp
1084961,ECPG,Encore Capital Group Inc
1300317,ECR,Eclipse Resources Corp
1235007,ECYT,Endocyte Inc
32689,EDE,Empire District Electric Company
1302343,EDR,Education Realty Trust Inc
31978,EE,El Paso Electric Company
1029199,EEFT,Euronet Worldwide
867374,EFII,Electronics For Imaging
1025835,EFSC,Enterprise Financial Services Corp
1050441,EGBN,Eagle Bancorp
1023731,EGHT,8X8 Inc
1544229,EGL,Engility Holdings Inc. Common
1322439,EGLE,Eagle Bulk Shipping Inc
1065332,EGOV,Nic Inc
49600,EGP,Eastgroup Properties
1333493,EHTH,Ehealth Inc
1379041,EIG,Employers Holdings Inc
1237746,EIGI,Endurance International Group H
1013606,ELGX,Endologix Inc
1122388,ELLI,Ellie Mae Inc
1102541,ELNK,Earthlink Inc
32166,ELRC,Electro Rent Corp
837465,ELY,Callaway Golf Company
356130,EMCI,EMC Insurance Group
930835,EME,Emcor Group
808326,EMKR,Emcore Corp
1244937,ENOC,Enernoc Inc
1463101,ENPH,Enphase Energy Inc
1289308,ENS,Enersys Inc
1125376,ENSG,The Ensign Group
1512077,ENT,Global Eagle Entertainment Inc
1177648,ENTA,Enanta Pharmaceuticals Inc
1101302,ENTG,Entegris Inc
1337619,ENV,Envestnet Inc
1352010,EPAM,Epam Systems Inc
1073349,EPAY,Bottomline Technologies
1027207,EPIQ,Epiq Systems
1006655,EPM,Evolution Petroleum Corp
1045450,EPR,Entertainment Properties Trust
1571498,EPZM,Epizyme Inc
1042810,EQY,Equity One
1525221,ERA,Era Group Inc. Common Stock W
854852,ERI,Eldorado Resorts Inc
33488,ESCA,Escalade Inc
866706,ESE,Esco Technologies Inc
1363829,ESGR,Enstar Group Ltd
33619,ESL,Esterline Technologies Corp
1448893,ESNT,Essent Group Ltd
1434868,ESPR,Esperion Therapeutics Inc
896156,ETH,Ethan Allen Interiors Inc
1067837,ETM,Entercom Communications Corp
1109116,EVC,Entravision Communications Corp
1502749,EVER,Everbank Financial Corp
1360901,EVR,Evercore Partners Inc
1559865,EVTC,Evertec Inc. Common Stock
913165,EXAC,Exactech Inc
1498021,EXAM,Examworks Group
753568,EXAR,Exar Corp
1124140,EXAS,Exact Sciences Corp
939767,EXEL,Exelixis Inc
1297989,EXLS,Exlservice Holdings
851520,EXPO,Exponent Inc
1483510,EXPR,Express Inc
1078271,EXTR,Extreme Networks
1343719,EXXI,Energy Xxi [Bermuda] Ltd
876523,EZPW,Ezcorp Inc
1472787,FAF,First American Corp
34563,FARM,Farmer Brothers Company
917491,FARO,Faro Technologies
1033012,FBC,Flagstar Bancorp
1521951,FBIZ,First Business Financial Services
811589,FBNC,First Bancorp
1511198,FBNK,First Connecticut Bancorp Inc
1057706,FBP,First Bancorp
886206,FC,Franklin Covey Company
1027280,FCB,Fcb Financial Holdings Inc
859070,FCBC,First Community Bancshares
886128,FCEL,Fuelcell Energy
712537,FCF,First Commonwealth Financial Corp
840489,FCFS,First Cash Financial Services
923603,FCH,Felcor Lodging Trust Inc
887936,FCN,Fti Consulting
798941,FCNCA,First Citizens Bancshares
1036960,FCS,Fairchild Semiconductor International
831246,FCSC,Fibrocell Science
946647,FDEF,First Defiance Financial
1419581,FDML,Federal-Mogul Corp
1047340,FDP,Fresh Del Monte Produce
914329,FEIC,Fei Company
38725,FELE,Franklin Electric Co
1401257,FET,Forum Energy Technologies Inc
1337298,FF,Futurefuel Corp
708955,FFBC,First Financial Bancorp
1012771,FFG,Fbl Financial Group
923139,FFIC,Flushing Financial Corp
36029,FFIN,First Financial Bankshares
713095,FFKT,Farmers Capital Bank Corp
1585064,FGL,Fidelity & Guaranty
860413,FIBK,First Interstate Bancsystem
814547,FICO,Fair Isaac and Company Inc
886137,FINL,The Finish Line
862831,FISI,Financial Institutions
1177609,FIVE,Five Below Inc
1035983,FIX,Comfort Systems USA
69891,FIZZ,National Beverage
1162194,FLDM,Fluidigm Corp
740663,FLIC,The First of Long Island Corp
1526160,FLTX,Fleetmatics Group Plc
1084869,FLWS,1-800 Flowers.Com
37472,FLXS,Flexsteel Industries
702325,FMBI,First Midwest Bancorp
354869,FMER,Firstmerit Corp
1488613,FMI,Foundation Medicine Inc
1408710,FN,Fabrinet
37808,FNB,F.N.B. Corp
1430592,FNGN,Financial Engines
1069996,FNHC,Federated National Holding Company
765207,FNLC,First Bancorp Inc [Me]
1094739,FNSR,Finisar Corp
35214,FOE,Ferro Corp
1178879,FOLD,Amicus Therapeutics
1039399,FORM,Formfactor
1023313,FORR,Forrester Research
1424929,FOXF,Fox Factory Holding Corp
1254595,FPO,First Potomac Realty Trust
1175505,FPRX,Five Prime Therapeutics Inc
921825,FR,First Industrial Realty Trust
1399935,FRAN,Francesca's Holdings Corporatio
724571,FRED,Fred's Inc
1534992,FRGI,Fiesta Restaurant Group Inc
54441,FRM,Furmanite Corp
712534,FRME,First Merchants Corp
1062613,FRP,Fairpoint Communications
1032863,FRPT,Freshpet Inc
1135431,FRSH,Papa Murphys Holdings Inc
1031316,FSP,Franklin Street Properties
277509,FSS,Federal Signal Corp
352825,FSTR,L.B. Foster Company
1575360,FTD,Ftd Companies Inc
928054,FTK,Flotek Industries
1477200,FUEL,Rocket Fuel Inc
39368,FUL,H. B. Fuller Company
700564,FULT,Fulton Financial Corp
1159281,FVE,Five Star Quality Care
1555492,FWM,Fairway Group Holdings Corp
912728,FWRD,Forward Air Corp
1485176,FXCB,Fox Chase Bancorp
714395,GABC,German American Bancorp
1390478,GALE,Galena Biopharma
1114483,GB,Greatbatch
868671,GBCI,Glacier Bancorp
1060349,GBL,Gamco Investors
1494904,GBLI,Global Indemnity Plc
1324410,GBNK,Guaranty Bancorp
923120,GBX,Greenbrier Companies
1444363,GCAP,Gain Capital Holdings
18498,GCO,Genesco Inc
1386278,GDOT,Green Dot Corp
43920,GEF,Greif Bros. Corp
1126294,GEN,Genesis Healthcare Inc
886744,GERN,Geron Corp
912463,GES,Guess Inc
50725,GFF,Griffon Corp
1131324,GHDX,Genomic Health
1282977,GHL,Greenhill & Co. Inc
716314,GHM,Graham Corp
821002,GIII,G-III Apparel Group
1484504,GIMO,Gigamon Inc
39648,GK,G&K Services
1372020,GLDD,Great Lakes Dredge & Dock Corp
1030749,GLF,Gulfmark Offshore
1009463,GLOB,Globant S.A.
1385613,GLRE,Greenlight Capital Re
41719,GLT,Glatfelter
1366246,GLUU,Glu Mobile Inc
1237831,GMED,Globus Medical Inc
808461,GNCMA,General Communication
1528356,GNE,Genie Energy Ltd. Class B Commo
1487371,GNMK,Genmark Diagnostics
1474735,GNRC,Generac Holdings Inc
1537054,GOGO,Gogo Inc
1234006,GOOD,Gladstone Commercial Corp
1456772,GOV,Government Properties Income Trust
1031203,GPI,Group 1 Automotive
1309402,GPRE,Green Plains Renewable Energy
911935,GPT,Gramercy Property Trust
70415,GPX,Gp Strategies Corp
42682,GRC,Gorman-Rupp Company
1366868,GSAT,Globalstar
854560,GSBC,Great Southern Bancorp
1076930,GSIG,Gsi Group Inc
1383571,GSM,Globe Specialty Metals Inc
1431372,GST,Gastar Exploration
43196,GTN,Gray Television
1171662,GTS,Triple-S Management Corp
1052752,GTY,Getty Realty Corp
1375557,GUID,Guidance Software
861459,GVA,Granite Construction Inc
1088586,GWB,Great Western Bancorp Inc
1528396,GWRE,Guidewire Software Inc. Common
1172222,HA,Hawaiian Holdings
313143,HAE,Haemonetics Corp
1109242,HAFC,Hanmi Financial Corp
819913,HALL,Hallmark Financial Services
1159036,HALO,Halozyme Therapeutics
1561894,HASI,Hannon Armstrong Sustainable In
1452384,HAWK,Blackhawk Network Holdings Inc
750577,HBHC,Hancock Holding Company
1123494,HBIO,Harvard Bioscience
706129,HBNC,Horizon Bancorp [In]
1403431,HCCI,Heritage-Crystal Clean
1400810,HCI,Homeowners Choice
1487986,HCOM,Hawaiian Telcom Hold
731012,HCSG,Healthcare Services Group
1347006,HDP,Hortonworks Inc
1339605,HEES,H&E Equipment Services
46619,HEI,Heico Corp
916789,HELE,Helen of Troy Ltd
921547,HEOP,Heritage Oaks Bancorp
1380509,HF,HFF Inc
1046025,HFWA,Heritage Financial Corp
722723,HGR,Hanger Orthopedic Group
45919,HHS,Harte-Hanks
1417398,HI,Hillenbrand Inc
1017480,HIBB,Hibbett Sports
1287808,HIL,Hill International
921082,HIW,Highwoods Properties
1282648,HK,Halcon Resources
719413,HL,Hecla Mining Company
851310,HLIT,Harmonic Inc
785161,HLS,Healthsouth Corp
1009575,HLTH,Nobilis Health Corp
1580156,HMHC,Houghton Mifflin Harcourt C
850141,HMN,Horace Mann Educators Corp
1143155,HMPR,Hampton Roads Bankshares Inc
1518715,HMST,Homestreet Inc
1196501,HMSY,Hms Holdings Corp
1567345,HMTV,Hemisphere Media
48287,HNI,Hon Industries Inc
788965,HNRG,Hallador Energy Company
1077688,HOFT,Hooker Furniture Corp
1331520,HOMB,Home Bancshares
1131227,HOS,Hornbeck Offshore Services
357294,HOV,Hovnanian Enterprises Inc
1482512,HPP,Hudson Pacific Properties
899749,HR,Healthcare Realty Trust Inc
109177,HRG,Harbinger Group Inc
45876,HSC,Harsco Corp
1066605,HSII,Heidrick & Struggles International
1038133,HSKA,Heska Corp
1434729,HSNI,HSN Inc
1095565,HSTM,Healthstream Inc
1063344,HT,Hersha Hospitality Trust
1538263,HTBI,Hometrust Bancshares Inc
1053352,HTBK,Heritage Commerce Corp
1265131,HTH,Hilltop Holdings Inc
799233,HTLD,Heartland Express
920112,HTLF,Heartland Financial USA
1419521,HTS,Hatteras Financial Corp
940942,HUBG,Hub Group
315374,HURC,Hurco Companies
1289848,HURN,Huron Consulting Group Inc
216085,HVT,Haverty Furniture Companies
1003344,HW,Headwaters Inc
704415,HWAY,Healthways Inc
46250,HWKN,Hawkins Inc
1173514,HY,Hyster-Yale Materials Handling
1057060,HZO,Marinemax Inc
917520,IART,Integra Lifesciences Holdings Corp
39311,IBCP,Independent Bank Corp
933141,IBKC,Iberiabank Corp
315709,IBOC,International Bancshares Corp
1564618,IBTX,Independent Bank Group Inc
1362004,ICFI,Icf International
857737,ICON,Iconix Brand Group
883984,ICUI,Icu Medical
1057877,IDA,Idacorp Inc
1405495,IDCC,Interdigital
861838,IDRA,Idera Pharmaceuticals
1005731,IDT,IDT Corp
703361,IDTI,Integrated Device Technology
701869,IHC,Independence Holding Company
764401,IIIN,Insteel Industries
1434620,IILG,Interval Leisure Group
820318,IIVI,Ii-Vi Inc
1488075,IL,Intralinks Holdings
921582,IMAX,Imax Corp
855654,IMGN,Immunogen
1000298,IMH,Impac Mortgage Holdings
